short,original
アイコ,アイスコーヒー
アイシン（AISIN）,アイシン精機及び主要グループ各社
赤プリ,グランドプリンスホテル赤坂（旧
アキバ,東京都千代田区にある秋葉原（東京の電気街/サブカルチャー街）（地名としての秋葉原は台東区にある。）
アクエリ,アクエリアス、アクエリアンエイジ、創聖のアクエリオン
アク禁,アクセス禁止
アジカン,ASIAN KUNG-FU GENERATION
アテレコ,声をアテるレコーディング
アニサマ,Animelo Summer Live
アニソン,アニメソング
アニメ,アニメーション
アフレコ,アフター・レコーディング
アポ,アポイントメント
アメスク,アメリカンスクール
アメフト,アメリカンフットボール
アリキリ,アリtoキリギリス
アリプロ,ALI PROJECT
アルハラ,アルコールハラスメント
アングラ,アンダーグラウンド
アンプ,アンプリファイア
イラレ,Adobe Illustrator
イラロジ,イラストロジック
インター,インターチェンジ、インターナショナル、インターハイ
インカレ,インターカレッジ
イントラ,インストラクター
インフラ,インフラストラクチャー
インフレ,インフレーション
ウィキ,ウィキペディア
ウテナ,少女革命ウテナ
ウンナン,ウッチャンナンチャン
エアコン,エア・コンディショナー
エアマネ,エアーマネジメント
エアロ,エアロビクス、エアロパーツ
エアロビ,エアロビクス
エーアイ,アイシン・エーアイ及びアイシン・エーアイ工業
エコ,エコロジー
エナジス,エナジーサポート
エヴァ,新世紀エヴァンゲリオン
Mステ,ミュージックステーション
L4,レディス4
エレガ,エレベーターガール
エロゲー,エロいゲーム
エロビ,エロビデオ
エンタ,エンタの神様
エンタメ,日経エンタメ及びエンタテインメント情報誌
オート,オートマチック、オートモービル
オートマ,オートマチックトランスミッション
オフコン,オフィスコンピュータ
オフレコ,オフ・ザ・レコード
オリカ,オリジナルカード
オリキャラ,オリジナルキャラクター
オリコ,オリエントコーポレーション
オリラジ,オリエンタルラジオ
オレカ,オレンジカード
オロC,オロナミンCドリンク
カーナビ,カーナビゲーション
ガガガ,ガガガSP、勇者王ガオガイガー
カシオレ,カシス・オレンジ
カックロ,加算クロス
ガッシュ,金色のガッシュ!!
カメコ,カメラ小僧
カレカノ,彼氏彼女の事情
ガレキ,ガレージキット
カンスト,カウントストップ及びカウンターストップ
カンパ,カンパニア
カンペ,カンニングペーパー、関西ペイント
関ジャニ,関ジャニ∞
ガンプラ,ガンダムのプラモデル
キタエリ,喜多村英梨
ぎふチャン,岐阜放送
キムタク,木村拓哉
キャバクラ,キャンパスクラブ、キャバレー・クラブ等諸説有り。
キャバ嬢,キャバクラ嬢。キャバクラで客を接待する女性。
キャプ翼,キャプテン翼
キャラソン,キャラクターソング
ギャルゲー,ギャルゲーム
ギャルサー,ギャルのサークル
キャンギャル,キャンペーンガール
キューブ,ゲームキューブ
キンキ,KinKi Kids
キン消し,キン肉マン消しゴム
キンコン,キングコング
銀ブラ,「銀座をブラつくこと。」が現在における意義だが、元々は「銀座で飲むブラックコーヒー」が本義。
クーデレ,クールでデレデレ
クソゲー,クソゲーム
グッスマ,グッドスマイルカンパニー
クリカン,栗田貫一
クリキン,クリスタルキング
クレカ,クレジットカード
クレしん,クレヨンしんちゃん
ゲーセン,ゲームセンター
ケータイ,携帯電話
軽トラ,軽トラック
ゲネプロ,ゲネラールプローベ（本番直前に通しでおこなうリハーサル）
ケンコバ,ケンドーコバヤシ
ケンタ,ケンタッキーフライドチキン
合コン,合同コンパ
ココイチ,カレーハウス CoCo壱番屋
コスプレ,コスチューム・プレイ
ゴスロリ,ゴシック・アンド・ロリータ
コテハン,匿名が主な場であえて使うハンドルネーム（固定ハンドルネーム）
コナン,名探偵コナン、江戸川コナン、未来少年コナン
コドチャ,こどものおもちゃ
コパル,日本電産コパル、日本電産コパル電子
