short,original
アイコ,アイスコーヒー
アイシン,アイシン精機
赤プリ,グランドプリンスホテル赤坂
アキバ,秋葉原
アクエリ,アクエリアス
アク禁,アクセス禁止
アジカン,アジアンカンフージェネレーション
アテレコ,声をアテるレコーディング
アニサマ,アニメロサマーライブ
アニソン,アニメソング
アニメ,アニメーション
アフレコ,アフターレコーディング
アポ,アポイントメント
アメスク,アメリカンスクール
アメフト,アメリカンフットボール
アリキリ,アリとキリギリス
アリプロ,アリプロジェクト
アルハラ,アルコールハラスメント
アングラ,アンダーグラウンド
アンプ,アンプリファイア
イラレ,アドビイラストレーター
イラロジ,イラストロジック
インター,インターチェンジ
インカレ,インターカレッジ
イントラ,インストラクター
インフラ,インフラストラクチャー
インフレ,インフレーション
ウィキ,ウィキペディア
ウテナ,少女革命ウテナ
ウンナン,ウッチャンナンチャン
エアコン,エアコンディショナー
エアマネ,エアーマネジメント
エアロ,エアロビクス
エアロビ,エアロビクス
エコ,エコロジー
エナジス,エナジーサポート
エヴァ,新世紀エヴァンゲリオン
エムステ,ミュージックステーション
エレガ,エレベーターガール
エロゲー,エロゲーム
エロビ,エロビデオ
エンタ,エンタの神様
エンタメ,エンタテインメント
オートマ,オートマチックトランスミッション
オフコン,オフィスコンピュータ
オフレコ,オフザレコード
オリカ,オリジナルカード
オリキャラ,オリジナルキャラクター
オリコ,オリエントコーポレーション
オリラジ,オリエンタルラジオ
オレカ,オレンジカード
オロシー,オロナミンシードリンク
カーナビ,カーナビゲーション
カシオレ,カシスオレンジ
カックロ,加算クロス
ガッシュ,金色のガッシュ
カメコ,カメラ小僧
カレカノ,彼氏彼女
ガレキ,ガレージキット
カンスト,カウントストップ
カンパ,カンパニア
カンペ,カンニングペーパー
ガンプラ,ガンダムプラモデル
キタエリ,喜多村英梨
ぎふチャン,岐阜放送
キムタク,木村拓哉
キャバクラ,キャバレークラブ
キャバ嬢,キャバクラ嬢
キャプ翼,キャプテン翼
キャラソン,キャラクターソング
