epoch,loss,accuracy
0, 0.02378,2.626
1, 0.02289,2.972
2, 0.02119,3.455
3, 0.01859,3.064
4, 0.01516,2.718
5, 0.01167,0.921
6, 0.00895,0.138
7, 0.00732,0.000
8, 0.00656,0.000
9, 0.00607,0.000
10, 0.00539,0.507
11, 0.00457,2.903
12, 0.00403,4.861
13, 0.00366,7.095
14, 0.00343,9.007
15, 0.00328,10.735
16, 0.00317,9.929
17, 0.00309,11.126
18, 0.00304,11.679
19, 0.00303,10.735
20, 0.00298,11.426
21, 0.00299,11.748
22, 0.00295,12.232
23, 0.00293,13.200
24, 0.00291,13.730
25, 0.00290,14.213
26, 0.00291,15.227
27, 0.00288,15.250
28, 0.00286,16.425
29, 0.00283,18.406
30, 0.00280,18.383
31, 0.00276,20.341
32, 0.00273,20.502
33, 0.00269,21.562
34, 0.00262,22.391
35, 0.00261,23.036
36, 0.00258,23.197
37, 0.00254,23.704
38, 0.00251,23.865
39, 0.00249,23.912
40, 0.00245,24.096
41, 0.00243,24.464
42, 0.00243,23.842
43, 0.00239,24.695
44, 0.00240,24.879
45, 0.00240,24.971
46, 0.00237,25.225
47, 0.00236,25.294
48, 0.00238,24.718
49, 0.00236,25.478
50, 0.00237,25.455
51, 0.00235,25.731
52, 0.00234,25.801
53, 0.00233,25.916
54, 0.00235,25.708
55, 0.00234,25.916
56, 0.00235,26.399
57, 0.00233,25.847
58, 0.00234,25.570
59, 0.00232,25.662
60, 0.00233,25.754
61, 0.00233,24.626
62, 0.00232,25.870
63, 0.00233,24.833
64, 0.00232,25.386
65, 0.00233,26.492
66, 0.00229,26.261
67, 0.00232,25.685
68, 0.00231,25.731
69, 0.00231,26.607
70, 0.00231,25.363
71, 0.00232,25.985
72, 0.00231,26.307
73, 0.00230,26.492
74, 0.00232,26.561
75, 0.00228,25.824
76, 0.00228,26.422
77, 0.00229,26.353
78, 0.00229,26.330
79, 0.00230,25.962
80, 0.00230,26.261
81, 0.00230,26.399
82, 0.00230,26.607
83, 0.00230,26.814
84, 0.00230,26.192
85, 0.00228,26.515
86, 0.00230,26.676
87, 0.00231,26.284
88, 0.00228,26.745
89, 0.00229,26.238
90, 0.00228,26.676
91, 0.00228,25.754
92, 0.00228,26.837
93, 0.00229,26.561
94, 0.00230,26.330
95, 0.00229,26.146
96, 0.00230,25.294
97, 0.00229,27.183
98, 0.00229,26.284
99, 0.00226,27.067
100, 0.00227,26.745
101, 0.00228,26.192
102, 0.00230,26.100
103, 0.00227,26.238
104, 0.00228,26.238
105, 0.00227,26.353
106, 0.00228,26.399
107, 0.00227,26.883
108, 0.00227,26.584
109, 0.00229,25.893
110, 0.00229,26.031
111, 0.00228,26.791
112, 0.00228,26.653
113, 0.00228,26.284
114, 0.00227,26.998
115, 0.00230,27.206
116, 0.00227,26.146
117, 0.00227,26.284
118, 0.00227,26.722
119, 0.00228,26.284
120, 0.00228,26.446
121, 0.00230,25.386
122, 0.00228,26.768
123, 0.00226,27.344
124, 0.00225,27.252
125, 0.00227,26.538
126, 0.00227,26.998
127, 0.00227,27.044
128, 0.00228,26.722
129, 0.00226,26.630
130, 0.00228,26.515
131, 0.00228,27.275
132, 0.00227,26.699
133, 0.00227,26.768
134, 0.00227,26.561
135, 0.00227,25.708
136, 0.00228,26.676
137, 0.00226,27.044
138, 0.00227,26.952
139, 0.00226,27.160
140, 0.00226,27.067
141, 0.00226,27.044
142, 0.00226,27.021
143, 0.00226,26.469
144, 0.00225,27.021
145, 0.00226,27.183
146, 0.00226,27.183
147, 0.00224,27.643
148, 0.00226,27.344
149, 0.00226,26.169
150, 0.00227,26.630
151, 0.00225,26.538
152, 0.00226,27.275
153, 0.00226,27.091
154, 0.00225,27.897
155, 0.00225,27.459
156, 0.00224,26.975
157, 0.00225,27.597
158, 0.00225,27.528
159, 0.00224,26.653
160, 0.00225,28.288
161, 0.00224,27.321
162, 0.00225,27.298
163, 0.00224,27.805
164, 0.00222,26.952
165, 0.00224,26.768
166, 0.00224,27.897
167, 0.00223,28.058
168, 0.00224,27.298
169, 0.00223,27.666
170, 0.00224,27.206
171, 0.00225,27.206
172, 0.00222,27.805
173, 0.00224,26.768
174, 0.00223,27.666
175, 0.00224,27.114
176, 0.00222,27.390
177, 0.00224,27.459
178, 0.00225,27.482
179, 0.00223,26.906
180, 0.00223,27.505
181, 0.00225,28.288
182, 0.00225,27.160
183, 0.00223,27.206
184, 0.00223,27.597
185, 0.00225,27.482
186, 0.00223,27.620
187, 0.00223,27.966
188, 0.00223,27.874
189, 0.00224,27.021
190, 0.00222,27.643
191, 0.00223,26.998
192, 0.00221,27.759
193, 0.00223,27.505
194, 0.00225,27.689
195, 0.00223,27.851
196, 0.00223,27.597
197, 0.00222,26.492
198, 0.00223,27.782
199, 0.00220,28.035
